1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1,1,1,0.20,0.00,0.13,0.13,0.07,0.07,0.00,0.00,0.07,0.00,0.27,0.07
1,0,1,1,0.26,0.10,0.06,0.06,0.00,0.03,0.00,0.03,0.10,0.13,0.13,0.10
1,1,0,1,0.14,0.07,0.14,0.14,0.00,0.14,0.00,0.00,0.07,0.14,0.07,0.07
1,1,1,0,0.46,0.12,0.12,0.08,0.00,0.08,0.00,0.00,0.04,0.04,0.04,0.04
0.2,0.258064516129032,0.142857142857143,0.461538461538462,0,1,1,1,1,1,1,1,1,1,1,1
0,0.096774193548387,0.071428571428572,0.115384615384615,1,0,1,1,1,1,1,1,1,1,1,1
0.133333333333333,0.064516129032258,0.142857142857143,0.115384615384615,1,1,0,1,1,1,1,1,1,1,1,1
0.133333333333333,0.064516129032258,0.142857142857143,0.076923076923077,1,1,1,0,1,1,1,1,1,1,1,1
0.066666666666667,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.066666666666667,0.032258064516129,0.142857142857143,0.076923076923077,1,1,1,1,1,0,1,1,1,1,1,1
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0,0.032258064516129,0,0,1,1,1,1,1,1,1,0,1,1,1,1
0.066666666666667,0.096774193548387,0.071428571428572,0.038461538461539,1,1,1,1,1,1,1,1,0,1,1,1
0,0.129032258064516,0.142857142857143,0.038461538461539,1,1,1,1,1,1,1,1,1,0,1,1
0.266666666666667,0.129032258064516,0.071428571428572,0.038461538461539,1,1,1,1,1,1,1,1,1,1,0,1
0.066666666666667,0.096774193548387,0.071428571428572,0.038461538461539,1,1,1,1,1,1,1,1,1,1,1,0
